user_id,segment,platform,exposed,placement,converted,engaged,orders,revenue,campaign_date
U00001,Returning,Android,1,Pop-up,0,0,0,0.0,2026-05-05
U00002,Reactivated,iOS,1,Pop-up,0,0,0,0.0,2026-05-15
U00003,High Value,Android,0,Control,0,1,0,0.0,2026-05-26
U00004,Returning,iOS,0,Control,0,1,0,0.0,2026-05-06
U00005,New,Android,0,Control,0,1,0,0.0,2026-05-11
U00006,New,Android,1,Pop-up,0,1,0,0.0,2026-05-03
U00007,New,Android,1,Banner,0,1,0,0.0,2026-05-25
U00008,High Value,iOS,0,Control,1,0,1,49.39,2026-05-18
U00009,Returning,Android,0,Control,1,0,3,80.57,2026-05-26
U00010,High Value,iOS,1,Merchandising Card,0,0,0,0.0,2026-05-01
U00011,New,iOS,1,Banner,0,0,0,0.0,2026-05-14
U00012,Reactivated,Android,0,Control,0,0,0,0.0,2026-05-18
U00013,High Value,Android,0,Control,0,1,0,0.0,2026-05-26
U00014,New,Android,1,Banner,0,0,0,0.0,2026-05-15
U00015,New,iOS,0,Control,0,1,0,0.0,2026-05-07
U00016,New,Android,0,Control,0,0,0,0.0,2026-05-03
U00017,New,iOS,1,Banner,0,1,0,0.0,2026-05-24
U00018,Returning,iOS,0,Control,0,0,0,0.0,2026-05-18
U00019,Returning,Android,0,Control,1,0,0,0.0,2026-05-17
U00020,New,iOS,0,Control,0,0,0,0.0,2026-05-03
U00021,Returning,Android,0,Control,0,0,0,0.0,2026-05-21
U00022,New,iOS,0,Control,0,1,0,0.0,2026-05-03
U00023,New,iOS,0,Control,1,0,2,37.45,2026-05-18
U00024,Returning,Android,0,Control,0,0,0,0.0,2026-05-05
U00025,Returning,Android,1,Merchandising Card,0,1,0,0.0,2026-05-27
U00026,High Value,iOS,1,Merchandising Card,0,0,0,0.0,2026-05-28
U00027,New,iOS,1,Banner,0,0,0,0.0,2026-05-19
U00028,Returning,Android,0,Control,0,1,0,0.0,2026-05-09
U00029,Returning,iOS,0,Control,0,1,0,0.0,2026-05-10
U00030,New,iOS,0,Control,0,1,0,0.0,2026-05-25
U00031,Returning,Android,0,Control,0,1,0,0.0,2026-05-21
U00032,New,iOS,0,Control,0,0,0,0.0,2026-05-03
U00033,New,Android,0,Control,0,0,0,0.0,2026-05-06
U00034,Reactivated,Android,1,Banner,1,0,1,31.44,2026-05-02
U00035,Reactivated,Android,1,Banner,0,0,0,0.0,2026-05-22
U00036,High Value,iOS,1,Banner,0,0,0,0.0,2026-05-16
U00037,New,Android,1,Banner,1,0,0,0.0,2026-05-10
U00038,New,iOS,0,Control,0,0,0,0.0,2026-05-14
U00039,Returning,iOS,1,Banner,0,0,0,0.0,2026-05-04
U00040,Returning,iOS,0,Control,0,0,0,0.0,2026-05-07
U00041,New,iOS,0,Control,0,0,0,0.0,2026-05-20
U00042,Returning,iOS,1,Merchandising Card,0,0,0,0.0,2026-05-05
U00043,New,Android,0,Control,0,1,0,0.0,2026-05-26
U00044,Reactivated,iOS,0,Control,0,0,0,0.0,2026-05-10
U00045,New,iOS,0,Control,1,0,1,39.81,2026-05-06
U00046,Returning,Android,0,Control,0,0,0,0.0,2026-05-28
U00047,New,iOS,1,Banner,0,0,0,0.0,2026-05-05
U00048,Returning,Android,0,Control,0,0,0,0.0,2026-05-13
U00049,Returning,Android,1,Banner,0,1,0,0.0,2026-05-13
U00050,New,Android,0,Control,0,0,0,0.0,2026-05-11
U00051,Reactivated,iOS,0,Control,0,0,0,0.0,2026-05-26
U00052,High Value,Android,0,Control,0,0,0,0.0,2026-05-16
U00053,Reactivated,Android,0,Control,0,0,0,0.0,2026-05-15
